report_id,raw_text,ground_truth_category,true_cluster_id,city,lat,lon
REP-1001,"Sir, IT flagged that someone set up a rogue wifi hotspot in the cafeteria and intercepted our traffic — looks like a man-in-the-middle attack on staff logins. Reach me on 07089876543.",Man-in-the-Middle (MITM) Attack,CLUSTER-005,Port Harcourt,4.738747726820566,7.123675401701678
REP-1002,All the files in the finance folder now have .locked extension and there is a readme.txt asking for money. Help fast! Phone: 08123456789.,Ransomware / Malware,CLUSTER-004,Lagos,6.566440696342563,3.5253159055545273
REP-1003,"Hello admin, I tried logging into the payroll portal and it asked for my password twice. Now my account is locked. Staff ID: STF-1049, NIN: 98765432109.",Credential Compromise,CLUSTER-002,Abuja,9.211462380505022,7.383578812401048
REP-1004,"Good morning sir, someone sent this link on our department WhatsApp group claiming the VC is giving 50k grant: http://fulafia-grant-portal.free.site. My email is john.doe@fulafia.edu.ng and my phone is 08123456789.",Phishing / Social Engineering,CLUSTER-001,Enugu,6.417442500569382,7.462613291719447
REP-1005,"Sir, IT flagged that someone set up a rogue wifi hotspot in the cafeteria and intercepted our traffic — looks like a man-in-the-middle attack on staff logins. Reach me on 08123456789.",Man-in-the-Middle (MITM) Attack,CLUSTER-005,Abuja,8.986977332019219,7.282503431826405
REP-1006,"Security noticed a port scan and then the perimeter firewall was bypassed overnight, attacker got into the DMZ server. My phone is 07089876543.",Firewall Breach / Perimeter Bypass,CLUSTER-007,Port Harcourt,4.6725210726868145,7.035844516856796
REP-1007,"Security noticed a port scan and then the perimeter firewall was bypassed overnight, attacker got into the DMZ server. My phone is 08031234567.",Firewall Breach / Perimeter Bypass,CLUSTER-007,Nasarawa,8.435082575756226,8.422436802651276
REP-1008,"After the initial breach the attacker pivoted from the web server and moved laterally to the internal database server. Escalating to IR now, call 08031234567.",Lateral Movement / Server Pivoting,CLUSTER-008,Port Harcourt,4.831510057141103,7.078307271431941
REP-1009,"Someone used a prompt injection to jailbreak our support chatbot and got it to leak internal staff data. Staff ID STF-1049, please investigate.",AI System Attack (Prompt Injection / Model Abuse),CLUSTER-009,Port Harcourt,4.745477903887398,7.091262795816062
REP-1010,"Sir, the school public library landing page is showing a strange message saying 'Hacked by X-Ghost'. Link: http://update-payroll-verify.ng. Contact me on 08031234567.",Web Defacement,CLUSTER-003,Nasarawa,8.61233977583021,8.649162985043802
REP-1011,All the files in the finance folder now have .locked extension and there is a readme.txt asking for money. Help fast! Phone: 08031234567.,Ransomware / Malware,CLUSTER-004,Enugu,6.528517826722444,7.658541279928831
REP-1012,"Good morning sir, someone sent this link on our department WhatsApp group claiming the VC is giving 50k grant: http://fulafia-grant-portal.free.site. My email is m.ibrahim@yahoo.com and my phone is 07089876543.",Phishing / Social Engineering,CLUSTER-001,Nasarawa,8.477458217920015,8.65451963662623
REP-1013,"Security noticed a port scan and then the perimeter firewall was bypassed overnight, attacker got into the DMZ server. My phone is 07089876543.",Firewall Breach / Perimeter Bypass,CLUSTER-007,Lagos,6.648492279288091,3.4451051204027845
REP-1014,All the files in the finance folder now have .locked extension and there is a readme.txt asking for money. Help fast! Phone: 08123456789.,Ransomware / Malware,CLUSTER-004,Kano,12.06214395954563,8.482309553604704
REP-1015,"Good morning sir, someone sent this link on our department WhatsApp group claiming the VC is giving 50k grant: http://fulafia-grant-portal.free.site. My email is m.ibrahim@yahoo.com and my phone is 08123456789.",Phishing / Social Engineering,CLUSTER-001,Port Harcourt,4.878181263953441,7.105404393936547
REP-1016,"Security noticed a port scan and then the perimeter firewall was bypassed overnight, attacker got into the DMZ server. My phone is 07089876543.",Firewall Breach / Perimeter Bypass,CLUSTER-007,Enugu,6.516698521913722,7.519142803777442
REP-1017,"Sir, the school public library landing page is showing a strange message saying 'Hacked by X-Ghost'. Link: http://fulafia-grant-portal.free.site. Contact me on 08031234567.",Web Defacement,CLUSTER-003,Port Harcourt,4.92072671390225,7.135414005070374
REP-1018,"Our web team found an XSS script injection on the student portal comment box, someone injected a malicious script tag to steal session cookies. Contact: m.ibrahim@yahoo.com.",Web Application Attack (XSS),CLUSTER-006,Nasarawa,8.454194079410781,8.474048611593656
REP-1019,"Someone used a prompt injection to jailbreak our support chatbot and got it to leak internal staff data. Staff ID STF-8821, please investigate.",AI System Attack (Prompt Injection / Model Abuse),CLUSTER-009,Kano,12.063554378305408,8.446727670495882
